"icd_10_pcs","description"
"02U64KZ","Supplement Right Atrium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U707Z","Supplement Left Atrium with Autologous Tissue Substitute, Open Approach"
"02U708Z","Supplement Left Atrium with Zooplastic Tissue, Open Approach"
"02U70JZ","Supplement Left Atrium with Synthetic Substitute, Open Approach"
"02U70KZ","Supplement Left Atrium with Nonautologous Tissue Substitute, Open Approach"
"02U737Z","Supplement Left Atrium with Autologous Tissue Substitute, Percutaneous Approach"
"02U738Z","Supplement Left Atrium with Zooplastic Tissue, Percutaneous Approach"
"02U73KZ","Supplement Left Atrium with Nonautologous Tissue Substitute, Percutaneous Approach"
"02U747Z","Supplement Left Atrium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U748Z","Supplement Left Atrium with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02U74KZ","Supplement Left Atrium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U907Z","Supplement Chordae Tendineae with Autologous Tissue Substitute, Open Approach"
"02U908Z","Supplement Chordae Tendineae with Zooplastic Tissue, Open Approach"
"02U90JZ","Supplement Chordae Tendineae with Synthetic Substitute, Open Approach"
"02U90KZ","Supplement Chordae Tendineae with Nonautologous Tissue Substitute, Open Approach"
"02U937Z","Supplement Chordae Tendineae with Autologous Tissue Substitute, Percutaneous Approach"
"02U938Z","Supplement Chordae Tendineae with Zooplastic Tissue, Percutaneous Approach"
"02U93JZ","Supplement Chordae Tendineae with Synthetic Substitute, Percutaneous Approach"
"02U93KZ","Supplement Chordae Tendineae with Nonautologous Tissue Substitute, Percutaneous Approach"
"02U947Z","Supplement Chordae Tendineae with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U948Z","Supplement Chordae Tendineae with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02U94JZ","Supplement Chordae Tendineae with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02U94KZ","Supplement Chordae Tendineae with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UA07Z","Supplement Heart with Autologous Tissue Substitute, Open Approach"
"02UA08Z","Supplement Heart with Zooplastic Tissue, Open Approach"
"02UA0JZ","Supplement Heart with Synthetic Substitute, Open Approach"
"02UA0KZ","Supplement Heart with Nonautologous Tissue Substitute, Open Approach"
"02UA37Z","Supplement Heart with Autologous Tissue Substitute, Percutaneous Approach"
"02UA38Z","Supplement Heart with Zooplastic Tissue, Percutaneous Approach"
"02UA3JZ","Supplement Heart with Synthetic Substitute, Percutaneous Approach"
"02UA3KZ","Supplement Heart with Nonautologous Tissue Substitute, Percutaneous Approach"
"02UA47Z","Supplement Heart with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UA48Z","Supplement Heart with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02UA4JZ","Supplement Heart with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02UA4KZ","Supplement Heart with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UD07Z","Supplement Papillary Muscle with Autologous Tissue Substitute, Open Approach"
"02UD08Z","Supplement Papillary Muscle with Zooplastic Tissue, Open Approach"
"02UD0JZ","Supplement Papillary Muscle with Synthetic Substitute, Open Approach"
"02UD0KZ","Supplement Papillary Muscle with Nonautologous Tissue Substitute, Open Approach"
"02UD37Z","Supplement Papillary Muscle with Autologous Tissue Substitute, Percutaneous Approach"
"02UD38Z","Supplement Papillary Muscle with Zooplastic Tissue, Percutaneous Approach"
"02UD3JZ","Supplement Papillary Muscle with Synthetic Substitute, Percutaneous Approach"
"02UD3KZ","Supplement Papillary Muscle with Nonautologous Tissue Substitute, Percutaneous Approach"
"02UD47Z","Supplement Papillary Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UD48Z","Supplement Papillary Muscle with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02UD4JZ","Supplement Papillary Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02UD4KZ","Supplement Papillary Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UK07Z","Supplement Right Ventricle with Autologous Tissue Substitute, Open Approach"
"02UK08Z","Supplement Right Ventricle with Zooplastic Tissue, Open Approach"
"02UK0JZ","Supplement Right Ventricle with Synthetic Substitute, Open Approach"
"02UK0KZ","Supplement Right Ventricle with Nonautologous Tissue Substitute, Open Approach"
"02UK37Z","Supplement Right Ventricle with Autologous Tissue Substitute, Percutaneous Approach"
"02UK38Z","Supplement Right Ventricle with Zooplastic Tissue, Percutaneous Approach"
"02UK3JZ","Supplement Right Ventricle with Synthetic Substitute, Percutaneous Approach"
"02UK3KZ","Supplement Right Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach"
"02UK47Z","Supplement Right Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UK48Z","Supplement Right Ventricle with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02UK4JZ","Supplement Right Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02UK4KZ","Supplement Right Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UL07Z","Supplement Left Ventricle with Autologous Tissue Substitute, Open Approach"
"02UL08Z","Supplement Left Ventricle with Zooplastic Tissue, Open Approach"
"02UL0JZ","Supplement Left Ventricle with Synthetic Substitute, Open Approach"
"02UL0KZ","Supplement Left Ventricle with Nonautologous Tissue Substitute, Open Approach"
"02UL37Z","Supplement Left Ventricle with Autologous Tissue Substitute, Percutaneous Approach"
"02UL38Z","Supplement Left Ventricle with Zooplastic Tissue, Percutaneous Approach"
"02UL3JZ","Supplement Left Ventricle with Synthetic Substitute, Percutaneous Approach"
"02UL3KZ","Supplement Left Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach"
"02UL47Z","Supplement Left Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UL48Z","Supplement Left Ventricle with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02UL4JZ","Supplement Left Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02UL4KZ","Supplement Left Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UM07Z","Supplement Ventricular Septum with Autologous Tissue Substitute, Open Approach"
"02UM08Z","Supplement Ventricular Septum with Zooplastic Tissue, Open Approach"
"02UM0JZ","Supplement Ventricular Septum with Synthetic Substitute, Open Approach"
"02UM0KZ","Supplement Ventricular Septum with Nonautologous Tissue Substitute, Open Approach"
"02UM37Z","Supplement Ventricular Septum with Autologous Tissue Substitute, Percutaneous Approach"
"02UM38Z","Supplement Ventricular Septum with Zooplastic Tissue, Percutaneous Approach"
"02UM3JZ","Supplement Ventricular Septum with Synthetic Substitute, Percutaneous Approach"
"02UM3KZ","Supplement Ventricular Septum with Nonautologous Tissue Substitute, Percutaneous Approach"
"02UM47Z","Supplement Ventricular Septum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UM48Z","Supplement Ventricular Septum with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02UM4JZ","Supplement Ventricular Septum with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02UM4KZ","Supplement Ventricular Septum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UN07Z","Supplement Pericardium with Autologous Tissue Substitute, Open Approach"
"02UN08Z","Supplement Pericardium with Zooplastic Tissue, Open Approach"
"02UN0JZ","Supplement Pericardium with Synthetic Substitute, Open Approach"
"02UN0KZ","Supplement Pericardium with Nonautologous Tissue Substitute, Open Approach"
"02UN37Z","Supplement Pericardium with Autologous Tissue Substitute, Percutaneous Approach"
"02UN38Z","Supplement Pericardium with Zooplastic Tissue, Percutaneous Approach"
"02UN3JZ","Supplement Pericardium with Synthetic Substitute, Percutaneous Approach"
"02UN3KZ","Supplement Pericardium with Nonautologous Tissue Substitute, Percutaneous Approach"
"02UN47Z","Supplement Pericardium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02UN48Z","Supplement Pericardium with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02UN4JZ","Supplement Pericardium with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02UN4KZ","Supplement Pericardium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02VA0CZ","Restriction of Heart with Extraluminal Device, Open Approach"
"02VA0ZZ","Restriction of Heart, Open Approach"
"02VA3CZ","Restriction of Heart with Extraluminal Device, Percutaneous Approach"
"02VA3ZZ","Restriction of Heart, Percutaneous Approach"
"02VA4CZ","Restriction of Heart with Extraluminal Device, Percutaneous Endoscopic Approach"
"02VA4ZZ","Restriction of Heart, Percutaneous Endoscopic Approach"
"02VR0CT","Restriction of Ductus Arteriosus with Extraluminal Device, Open Approach"
"02VR0DT","Restriction of Ductus Arteriosus with Intraluminal Device, Open Approach"
"02VR0ZT","Restriction of Ductus Arteriosus, Open Approach"
"02VR3CT","Restriction of Ductus Arteriosus with Extraluminal Device, Percutaneous Approach"
"02VR3DT","Restriction of Ductus Arteriosus with Intraluminal Device, Percutaneous Approach"
"02VR3ZT","Restriction of Ductus Arteriosus, Percutaneous Approach"
"02VR4CT","Restriction of Ductus Arteriosus with Extraluminal Device, Percutaneous Endoscopic Approach"
"02VR4DT","Restriction of Ductus Arteriosus with Intraluminal Device, Percutaneous Endoscopic Approach"
"02VR4ZT","Restriction of Ductus Arteriosus, Percutaneous Endoscopic Approach"
"02W50JZ","Revision of Synthetic Substitute in Atrial Septum, Open Approach"
"02W54JZ","Revision of Synthetic Substitute in Atrial Septum, Percutaneous Endoscopic Approach"
"02WA02Z","Revision of Monitoring Device in Heart, Open Approach"
"02WA03Z","Revision of Infusion Device in Heart, Open Approach"
"02WA07Z","Revision of Autologous Tissue Substitute in Heart, Open Approach"
"02WA08Z","Revision of Zooplastic Tissue in Heart, Open Approach"
"02WA0CZ","Revision of Extraluminal Device in Heart, Open Approach"
"02WA0DZ","Revision of Intraluminal Device in Heart, Open Approach"
"02WA0JZ","Revision of Synthetic Substitute in Heart, Open Approach"
"02WA0KZ","Revision of Nonautologous Tissue Substitute in Heart, Open Approach"
"02WA0QZ","Revision of Implantable Heart Assist System in Heart, Open Approach"
"02WA0RS","Revision of Biventricular Short-term External Heart Assist System in Heart, Open Approach"
"02WA0RZ","Revision of Short-term External Heart Assist System in Heart, Open Approach"
"02WA0YZ","Revision of Other Device in Heart, Open Approach"
"02WA32Z","Revision of Monitoring Device in Heart, Percutaneous Approach"
"02WA33Z","Revision of Infusion Device in Heart, Percutaneous Approach"
"02WA37Z","Revision of Autologous Tissue Substitute in Heart, Percutaneous Approach"
"02WA38Z","Revision of Zooplastic Tissue in Heart, Percutaneous Approach"
"02WA3CZ","Revision of Extraluminal Device in Heart, Percutaneous Approach"
"02WA3DZ","Revision of Intraluminal Device in Heart, Percutaneous Approach"
"02WA3JZ","Revision of Synthetic Substitute in Heart, Percutaneous Approach"
"02WA3KZ","Revision of Nonautologous Tissue Substitute in Heart, Percutaneous Approach"
"02WA3QZ","Revision of Implantable Heart Assist System in Heart, Percutaneous Approach"
"02WA3RS","Revision of Biventricular Short-term External Heart Assist System in Heart, Percutaneous Approach"
"02WA3RZ","Revision of Short-term External Heart Assist System in Heart, Percutaneous Approach"
"02WA42Z","Revision of Monitoring Device in Heart, Percutaneous Endoscopic Approach"
"02WA43Z","Revision of Infusion Device in Heart, Percutaneous Endoscopic Approach"
"02WA47Z","Revision of Autologous Tissue Substitute in Heart, Percutaneous Endoscopic Approach"
"02WA48Z","Revision of Zooplastic Tissue in Heart, Percutaneous Endoscopic Approach"
"02WA4CZ","Revision of Extraluminal Device in Heart, Percutaneous Endoscopic Approach"
"02WA4DZ","Revision of Intraluminal Device in Heart, Percutaneous Endoscopic Approach"
"02WA4JZ","Revision of Synthetic Substitute in Heart, Percutaneous Endoscopic Approach"
"02WA4KZ","Revision of Nonautologous Tissue Substitute in Heart, Percutaneous Endoscopic Approach"
"02WA4QZ","Revision of Implantable Heart Assist System in Heart, Percutaneous Endoscopic Approach"
"02WA4RS","Revision of Biventricular Short-term External Heart Assist System in Heart, Percutaneous Endoscopic Approach"
"02WA4RZ","Revision of Short-term External Heart Assist System in Heart, Percutaneous Endoscopic Approach"
"02WM0JZ","Revision of Synthetic Substitute in Ventricular Septum, Open Approach"
"02WM4JZ","Revision of Synthetic Substitute in Ventricular Septum, Percutaneous Endoscopic Approach"
"04V03C6","Restriction of Abdominal Aorta, Bifurcation, with Extraluminal Device, Percutaneous Approach"
"04V03CZ","Restriction of Abdominal Aorta with Extraluminal Device, Percutaneous Approach"
"04V03D6","Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Approach"
"04V03DJ","Restriction of Abdominal Aorta with Intraluminal Device, Temporary, Percutaneous Approach"
"04V03DZ","Restriction of Abdominal Aorta with Intraluminal Device, Percutaneous Approach"
"04V03E6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach"
"04V03EZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach"
"04V03F6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach"
"04V03FZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach"
"04V03Z6","Restriction of Abdominal Aorta, Bifurcation, Percutaneous Approach"
"04V03ZZ","Restriction of Abdominal Aorta, Percutaneous Approach"
"04V04C6","Restriction of Abdominal Aorta, Bifurcation, with Extraluminal Device, Percutaneous Endoscopic Approach"
"04V04CZ","Restriction of Abdominal Aorta with Extraluminal Device, Percutaneous Endoscopic Approach"
"04V04D6","Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach"
"04V04DJ","Restriction of Abdominal Aorta with Intraluminal Device, Temporary, Percutaneous Endoscopic Approach"
"04V04DZ","Restriction of Abdominal Aorta with Intraluminal Device, Percutaneous Endoscopic Approach"
"04V04E6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Endoscopic Approach"
"04V04EZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Endoscopic Approach"
"04V04F6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Endoscopic Approach"
"04V04FZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Endoscopic Approach"
"04V04Z6","Restriction of Abdominal Aorta, Bifurcation, Percutaneous Endoscopic Approach"
"04V04ZZ","Restriction of Abdominal Aorta, Percutaneous Endoscopic Approach"
"0CBS4ZZ","Excision of Larynx, Percutaneous Endoscopic Approach"
"0CBS7ZZ","Excision of Larynx, Via Natural or Artificial Opening"
"0CBS8ZZ","Excision of Larynx, Via Natural or Artificial Opening Endoscopic"
"0F9580Z","Drainage of Right Hepatic Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic"
"0F958ZZ","Drainage of Right Hepatic Duct, Via Natural or Artificial Opening Endoscopic"
"0F9680Z","Drainage of Left Hepatic Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic"
