"icd_10_cm","description"
"S62367B","Nondisplaced fracture of neck of fifth metacarpal bone, left hand, initial encounter for open fracture"
"S62368A","Nondisplaced fracture of neck of other metacarpal bone, initial encounter for closed fracture"
"S62368B","Nondisplaced fracture of neck of other metacarpal bone, initial encounter for open fracture"
"S62369A","Nondisplaced fracture of neck of unspecified metacarpal bone, initial encounter for closed fracture"
"S62369B","Nondisplaced fracture of neck of unspecified metacarpal bone, initial encounter for open fracture"
"S62390A","Other fracture of second metacarpal bone, right hand, initial encounter for closed fracture"
"S62390B","Other fracture of second metacarpal bone, right hand, initial encounter for open fracture"
"S62391A","Other fracture of second metacarpal bone, left hand, initial encounter for closed fracture"
"S62391B","Other fracture of second metacarpal bone, left hand, initial encounter for open fracture"
"S62392A","Other fracture of third metacarpal bone, right hand, initial encounter for closed fracture"
"S62392B","Other fracture of third metacarpal bone, right hand, initial encounter for open fracture"
"S62393A","Other fracture of third metacarpal bone, left hand, initial encounter for closed fracture"
"S62393B","Other fracture of third metacarpal bone, left hand, initial encounter for open fracture"
"S62394A","Other fracture of fourth metacarpal bone, right hand, initial encounter for closed fracture"
"S62394B","Other fracture of fourth metacarpal bone, right hand, initial encounter for open fracture"
"S62395A","Other fracture of fourth metacarpal bone, left hand, initial encounter for closed fracture"
"S62395B","Other fracture of fourth metacarpal bone, left hand, initial encounter for open fracture"
"S62396A","Other fracture of fifth metacarpal bone, right hand, initial encounter for closed fracture"
"S62396B","Other fracture of fifth metacarpal bone, right hand, initial encounter for open fracture"
"S62397A","Other fracture of fifth metacarpal bone, left hand, initial encounter for closed fracture"
"S62397B","Other fracture of fifth metacarpal bone, left hand, initial encounter for open fracture"
"S62398A","Other fracture of other metacarpal bone, initial encounter for closed fracture"
"S62398B","Other fracture of other metacarpal bone, initial encounter for open fracture"
"S62399A","Other fracture of unspecified metacarpal bone, initial encounter for closed fracture"
"S62399B","Other fracture of unspecified metacarpal bone, initial encounter for open fracture"
"S62501A","Fracture of unspecified phalanx of right thumb, initial encounter for closed fracture"
"S62501B","Fracture of unspecified phalanx of right thumb, initial encounter for open fracture"
"S62502A","Fracture of unspecified phalanx of left thumb, initial encounter for closed fracture"
"S62502B","Fracture of unspecified phalanx of left thumb, initial encounter for open fracture"
"S62509A","Fracture of unspecified phalanx of unspecified thumb, initial encounter for closed fracture"
"S62509B","Fracture of unspecified phalanx of unspecified thumb, initial encounter for open fracture"
"S62511A","Displaced fracture of proximal phalanx of right thumb, initial encounter for closed fracture"
"S62511B","Displaced fracture of proximal phalanx of right thumb, initial encounter for open fracture"
"S62512A","Displaced fracture of proximal phalanx of left thumb, initial encounter for closed fracture"
"S62512B","Displaced fracture of proximal phalanx of left thumb, initial encounter for open fracture"
"S62513A","Displaced fracture of proximal phalanx of unspecified thumb, initial encounter for closed fracture"
"S62513B","Displaced fracture of proximal phalanx of unspecified thumb, initial encounter for open fracture"
"S62514A","Nondisplaced fracture of proximal phalanx of right thumb, initial encounter for closed fracture"
"S62514B","Nondisplaced fracture of proximal phalanx of right thumb, initial encounter for open fracture"
"S62515A","Nondisplaced fracture of proximal phalanx of left thumb, initial encounter for closed fracture"
"S62515B","Nondisplaced fracture of proximal phalanx of left thumb, initial encounter for open fracture"
"S62516A","Nondisplaced fracture of proximal phalanx of unspecified thumb, initial encounter for closed fracture"
"S62516B","Nondisplaced fracture of proximal phalanx of unspecified thumb, initial encounter for open fracture"
"S62521A","Displaced fracture of distal phalanx of right thumb, initial encounter for closed fracture"
"S62521B","Displaced fracture of distal phalanx of right thumb, initial encounter for open fracture"
"S62522A","Displaced fracture of distal phalanx of left thumb, initial encounter for closed fracture"
"S62522B","Displaced fracture of distal phalanx of left thumb, initial encounter for open fracture"
"S62523A","Displaced fracture of distal phalanx of unspecified thumb, initial encounter for closed fracture"
"S62523B","Displaced fracture of distal phalanx of unspecified thumb, initial encounter for open fracture"
"S62524A","Nondisplaced fracture of distal phalanx of right thumb, initial encounter for closed fracture"
"S62524B","Nondisplaced fracture of distal phalanx of right thumb, initial encounter for open fracture"
"S62525A","Nondisplaced fracture of distal phalanx of left thumb, initial encounter for closed fracture"
"S62525B","Nondisplaced fracture of distal phalanx of left thumb, initial encounter for open fracture"
"S62526A","Nondisplaced fracture of distal phalanx of unspecified thumb, initial encounter for closed fracture"
"S62526B","Nondisplaced fracture of distal phalanx of unspecified thumb, initial encounter for open fracture"
"S62600A","Fracture of unspecified phalanx of right index finger, initial encounter for closed fracture"
"S62600B","Fracture of unspecified phalanx of right index finger, initial encounter for open fracture"
"S62601A","Fracture of unspecified phalanx of left index finger, initial encounter for closed fracture"
"S62601B","Fracture of unspecified phalanx of left index finger, initial encounter for open fracture"
"S62602A","Fracture of unspecified phalanx of right middle finger, initial encounter for closed fracture"
"S62602B","Fracture of unspecified phalanx of right middle finger, initial encounter for open fracture"
"S62603A","Fracture of unspecified phalanx of left middle finger, initial encounter for closed fracture"
"S62603B","Fracture of unspecified phalanx of left middle finger, initial encounter for open fracture"
"S62604A","Fracture of unspecified phalanx of right ring finger, initial encounter for closed fracture"
"S62604B","Fracture of unspecified phalanx of right ring finger, initial encounter for open fracture"
"S62605A","Fracture of unspecified phalanx of left ring finger, initial encounter for closed fracture"
"S62605B","Fracture of unspecified phalanx of left ring finger, initial encounter for open fracture"
"S62606A","Fracture of unspecified phalanx of right little finger, initial encounter for closed fracture"
"S62606B","Fracture of unspecified phalanx of right little finger, initial encounter for open fracture"
"S62607A","Fracture of unspecified phalanx of left little finger, initial encounter for closed fracture"
"S62607B","Fracture of unspecified phalanx of left little finger, initial encounter for open fracture"
"S62608A","Fracture of unspecified phalanx of other finger, initial encounter for closed fracture"
"S62608B","Fracture of unspecified phalanx of other finger, initial encounter for open fracture"
"S62609A","Fracture of unspecified phalanx of unspecified finger, initial encounter for closed fracture"
"S62609B","Fracture of unspecified phalanx of unspecified finger, initial encounter for open fracture"
"S62610A","Displaced fracture of proximal phalanx of right index finger, initial encounter for closed fracture"
"S62610B","Displaced fracture of proximal phalanx of right index finger, initial encounter for open fracture"
"S62611A","Displaced fracture of proximal phalanx of left index finger, initial encounter for closed fracture"
"S62611B","Displaced fracture of proximal phalanx of left index finger, initial encounter for open fracture"
"S62612A","Displaced fracture of proximal phalanx of right middle finger, initial encounter for closed fracture"
"S62612B","Displaced fracture of proximal phalanx of right middle finger, initial encounter for open fracture"
"S62613A","Displaced fracture of proximal phalanx of left middle finger, initial encounter for closed fracture"
"S62613B","Displaced fracture of proximal phalanx of left middle finger, initial encounter for open fracture"
"S62614A","Displaced fracture of proximal phalanx of right ring finger, initial encounter for closed fracture"
"S62614B","Displaced fracture of proximal phalanx of right ring finger, initial encounter for open fracture"
"S62615A","Displaced fracture of proximal phalanx of left ring finger, initial encounter for closed fracture"
"S62615B","Displaced fracture of proximal phalanx of left ring finger, initial encounter for open fracture"
"S62616A","Displaced fracture of proximal phalanx of right little finger, initial encounter for closed fracture"
