"icd_9_pcs","long_description","short_description"
3884,"Other surgical occlusion of vessels, aorta, abdominal",Occlude aorta NEC
3885,"Other surgical occlusion of vessels, thoracic vessels",Occlude thoracic ves NEC
3886,"Other surgical occlusion of vessels, abdominal arteries",Occlude abd artery NEC
3887,"Other surgical occlusion of vessels, abdominal veins",Occlude abd vein NEC
3888,"Other surgical occlusion of vessels, lower limb arteries",Occlude leg artery NEC
3889,"Other surgical occlusion of vessels, lower limb veins",Occlude leg vein NEC
3891,Arterial catheterization,Arterial catheterization
3892,Umbilical vein catheterization,Umbilical vein cath
3893,"Venous catheterization, not elsewhere classified",Venous cath NEC
3894,Venous cutdown,Venous cutdown
3895,Venous catheterization for renal dialysis,Ven cath renal dialysis
3897,Central venous catheter placement with guidance,CV cath plcmt w guidance
3898,Other puncture of artery,Arterial puncture NEC
3899,Other puncture of vein,Venous puncture NEC
390,Systemic to pulmonary artery shunt,Systemic-pulm art shunt
391,Intra-abdominal venous shunt,Intra-abd venous shunt
3921,Caval-pulmonary artery anastomosis,Caval-pulmon art anastom
3922,Aorta-subclavian-carotid bypass,Aorta-subclv-carot bypas
3923,Other intrathoracic vascular shunt or bypass,Intrathoracic shunt NEC
3924,Aorta-renal bypass,Aorta-renal bypass
3925,Aorta-iliac-femoral bypass,Aorta-iliac-femor bypass
3926,Other intra-abdominal vascular shunt or bypass,Intra-abdomin shunt NEC
3927,Arteriovenostomy for renal dialysis,Dialysis arteriovenostom
3928,Extracranial-intracranial (EC-IC) vascular bypass,Extracran-intracr bypass
3929,Other (peripheral) vascular shunt or bypass,Vasc shunt & bypass NEC
3930,Suture of unspecified blood vessel,Suture of vessel NOS
3931,Suture of artery,Suture of artery
3932,Suture of vein,Suture of vein
3941,Control of hemorrhage following vascular surgery,Postop vasc op hem contr
3942,Revision of arteriovenous shunt for renal dialysis,Revis ren dialysis shunt
3943,Removal of arteriovenous shunt for renal dialysis,Remov ren dialysis shunt
3949,Other revision of vascular procedure,Vasc proc revision NEC
3950,Angioplasty of other non-coronary vessel(s),Angio oth non-coronary
3951,Clipping of aneurysm,Clipping of aneurysm
3952,Other repair of aneurysm,Aneurysm repair NEC
3953,Repair of arteriovenous fistula,Arterioven fistula rep
3954,Re-entry operation (aorta),Re-entry operation
3955,Reimplantation of aberrant renal vessel,Reimplan aberr renal ves
3956,Repair of blood vessel with tissue patch graft,Repair vess w tis patch
3957,Repair of blood vessel with synthetic patch graft,Rep vess w synth patch
3958,Repair of blood vessel with unspecified type of patch graft,Repair vess w patch NOS
3959,Other repair of vessel,Repair of vessel NEC
3961,Extracorporeal circulation auxiliary to open heart surgery,Extracorporeal circulat
3962,Hypothermia (systemic) incidental to open heart surgery,Hypothermia w open heart
3963,Cardioplegia,Cardioplegia
3964,Intraoperative cardiac pacemaker,Intraop cardiac pacemak
3965,Extracorporeal membrane oxygenation [ECMO],Extracorporeal memb oxy
3966,Percutaneous cardiopulmonary bypass,Per cardiopulmon bypass
3971,Endovascular implantation of other graft in abdominal aorta,Endo imp oth grf abd aor
3972,Endovascular (total) embolization or occlusion of head and neck vessels,Endovasc embol hd/nk ves
3973,Endovascular implantation of graft in thoracic aorta,Endo imp grft thor aorta
3974,Endovascular removal of obstruction from head and neck vessel(s),Endo rem obs hd/neck ves
3975,Endovascular embolization or occlusion of vessel(s) of head or neck using bare coils,"Endo emb hd/nk,bare coil"
3976,Endovascular embolization or occlusion of vessel(s) of head or neck using bioactive coils,"Endo em hd/nk,bioac coil"
3977,Temporary (partial) therapeutic endovascular occlusion of vessel,Temp endovsc occls vessl
3978,Endovascular implantation of branching or fenestrated graft(s) in aorta,Endovas impln grft aorta
3979,Other endovascular procedures on other vessels,Oth endo proc oth vessel
3981,"Implantation or replacement of carotid sinus stimulation device, total system","Imp crtd sinus stm,totl"
3982,Implantation or replacement of carotid sinus stimulation lead(s) only,Imp/rep crtd sinus lead
3983,Implantation or replacement of carotid sinus stimulation pulse generator only,Imp/rep crtd sinus gnrtr
3984,Revision of carotid sinus stimulation lead(s) only,Rev crtd sinus stm leads
3985,Revision of carotid sinus stimulation pulse generator,Rev crtd sinus pulse gen
3986,"Removal of carotid sinus stimulation device, total system","Rem crtd sinus stm, totl"
3987,Removal of carotid sinus stimulation lead(s) only,Rem crtd sinus stm lead
3988,Removal of carotid sinus stimulation pulse generator only,Rem crtd sinus pulse gen
3989,"Other operations on carotid body, carotid sinus and other vascular bodies",Oth cartd body/sinus op
3990,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s),Ins non-d-e non-cor stnt
3991,Freeing of vessel,Freeing of vessel
3992,Injection of sclerosing agent into vein,Vein inject-scleros agnt
3993,Insertion of vessel-to-vessel cannula,Insert ves-to-ves cannul
3994,Replacement of vessel-to-vessel cannula,Replac ves-to-ves cannul
3995,Hemodialysis,Hemodialysis
3996,Total body perfusion,Total body perfusion
3997,Other perfusion,Other perfusion
3998,"Control of hemorrhage, not otherwise specified",Hemorrhage control NOS
3999,Other operations on vessels,Vessel operation NEC
400,Incision of lymphatic structures,Incis lymphatic structur
4011,Biopsy of lymphatic structure,Lymphatic struct biopsy
4019,Other diagnostic procedures on lymphatic structures,Lymphatic diag proc NEC
4021,Excision of deep cervical lymph node,Excis deep cervical node
4022,Excision of internal mammary lymph node,Excise int mammary node
4023,Excision of axillary lymph node,Excise axillary node
4024,Excision of inguinal lymph node,Excise inguinal node
4029,Simple excision of other lymphatic structure,Simp exc lymph struc NEC
403,Regional lymph node excision,Regional lymph node exc
4040,"Radical neck dissection, not otherwise specified",Rad neck dissection NOS
4041,"Radical neck dissection, unilateral",Unilat rad neck dissect
4042,"Radical neck dissection, bilateral",Bilat rad neck dissect
4050,"Radical excision of lymph nodes, not otherwise specified",Rad node dissection NOS
4051,Radical excision of axillary lymph nodes,Rad dissec axillary node
4052,Radical excision of periaortic lymph nodes,Rad dissec periaort node
4053,Radical excision of iliac lymph nodes,Rad dissect iliac nodes
4054,Radical groin dissection,Radical groin dissection
4059,Radical excision of other lymph nodes,Rad node dissection NEC
4061,Cannulation of thoracic duct,Thorac duct cannulation
4062,Fistulization of thoracic duct,Thoracic duct fistulizat
4063,Closure of fistula of thoracic duct,Close thoracic duct fist
4064,Ligation of thoracic duct,Ligate thoracic duct
4069,Other operations on thoracic duct,Thoracic duct op NEC
409,Other operations on lymphatic structures,Lymph structure op NEC
4100,"Bone marrow transplant, not otherwise specified",Bone marrow trnsplnt NOS
4101,Autologous bone marrow transplant without purging,Auto bone mt w/o purg
4102,Allogeneic bone marrow transplant with purging,Alo bone marrow trnsplnt
4103,Allogeneic bone marrow transplant without purging,Allogrft bone marrow NOS
4104,Autologous hematopoietic stem cell transplant without purging,Auto hem stem ct w/o pur
4105,Allogeneic hematopoietic stem cell transpant without purging,Allo hem stem ct w/o pur
4106,Cord blood stem cell transplant,Cord bld stem cell trans
4107,Autologous hematopoietic stem cell transplant with purging,Auto hem stem ct w purg
4108,Allogeneic hematopoietic stem cell transplant with purging,Allo hem stem ct w purg
4109,Autologous bone marrow transplant with purging,Auto bone mt w purging
411,Puncture of spleen,Puncture of spleen
412,Splenotomy,Splenotomy
4131,Biopsy of bone marrow,Bone marrow biopsy
4132,Closed [aspiration] [percutaneous] biopsy of spleen,Closed spleen biopsy
4133,Open biopsy of spleen,Open spleen biopsy
4138,Other diagnostic procedures on bone marrow,Marrow diagnost proc NEC
4139,Other diagnostic procedures on spleen,Spleen diagnost proc NEC
4141,Marsupialization of splenic cyst,Splenic cyst marsupial
4142,Excision of lesion or tissue of spleen,Exc splenic lesion/tiss
4143,Partial splenectomy,Partial splenectomy
415,Total splenectomy,Total splenectomy
4191,Aspiration of bone marrow from donor for transplant,Donor marrow aspiration
4192,Injection into bone marrow,Injection into marrow
4193,Excision of accessory spleen,Exc of accessory spleen
4194,Transplantation of spleen,Spleen transplantation
4195,Repair and plastic operations on spleen,Repair of spleen
4198,Other operations on bone marrow,Bone marrow ops NEC
4199,Other operations on spleen,Spleen operation NEC
4201,Incision of esophageal web,Esophageal web incision
4209,Other incision of esophagus,Esophageal incision NEC
4210,"Esophagostomy, not otherwise specified",Esophagostomy NOS
4211,Cervical esophagostomy,Cervical esophagostomy
4212,Exteriorization of esophageal pouch,Esoph pouch exteriorizat
4219,Other external fistulization of esophagus,Ext fistulizat esoph NEC
4221,Operative esophagoscopy by incision,Esophagoscopy by incis
4222,Esophagoscopy through artificial stoma,Esophagoscopy thru stoma
4223,Other esophagoscopy,Esophagoscopy NEC
4224,Closed [endoscopic] biopsy of esophagus,Closed bx of esophagus
4225,Open biopsy of esophagus,Open biopsy of esophagus
4229,Other diagnostic procedures on esophagus,Esophageal dx proc NEC
4231,Local excision of esophageal diverticulum,Loc excis esoph divertic
4232,Local excision of other lesion or tissue of esophagus,Local excis esophag NEC
4233,Endoscopic excision or destruction of lesion or tissue of esophagus,Endosc destruc esoph les
4239,Other destruction of lesion or tissue of esophagus,Destruct esophag les NEC
4240,"Esophagectomy, not otherwise specified",Esophagectomy NOS
4241,Partial esophagectomy,Partial esophagectomy
4242,Total esophagectomy,Total esophagectomy
4251,Intrathoracic esophagoesophagostomy,Thorac esophagoesophagos
4252,Intrathoracic esophagogastrostomy,Thorac esophagogastrost
4253,Intrathoracic esophageal anastomosis with interposition of small bowel,Thorac sm bowel interpos
4254,Other intrathoracic esophagoenterostomy,Thorac esophagoenter NEC
4255,Intrathoracic esophageal anastomosis with interposition of colon,Thorac lg bowel interpos
4256,Other intrathoracic esophagocolostomy,Thorac esophagocolos NEC
4258,Intrathoracic esophageal anastomosis with other interposition,Thorac interposition NEC
4259,Other intrathoracic anastomosis of esophagus,Thorac esophag anast NEC
4261,Antesternal esophagoesophagostomy,Stern esophagoesophagost
4262,Antesternal esophagogastrostomy,Stern esophagogastrostom
4263,Antesternal esophageal anastomosis with interposition of small bowel,Stern sm bowel interpos
4264,Other antesternal esophagoenterostomy,Stern esophagoenter NEC
4265,Antesternal esophageal anastomosis with interposition of colon,Stern lg bowel interpos
4266,Other antesternal esophagocolostomy,Stern esophagocolos NEC
4268,Other antesternal esophageal anastomosis with interposition,Stern interposition NEC
4269,Other antesternal anastomosis of esophagus,Stern esophag anast NEC
427,Esophagomyotomy,Esophagomyotomy
4281,Insertion of permanent tube into esophagus,Insert perm tube esophag
4282,Suture of laceration of esophagus,Suture esophageal lacer
4283,Closure of esophagostomy,Esophagostomy closure
4284,"Repair of esophageal fistula, not elsewhere classified",Esoph fistula repair NEC
4285,Repair of esophageal stricture,Esophag stricture repair
4286,Production of subcutaneous tunnel without esophageal anastomosis,Prod subq tunnel no anas
4287,Other graft of esophagus,Esophageal graft NEC
4289,Other repair of esophagus,Esophageal repair NEC
4291,Ligation of esophageal varices,Ligation esoph varix
4292,Dilation of esophagus,Esophageal dilation
4299,Other operations on esophagus,Esophageal operation NEC
430,Gastrotomy,Gastrotomy
4311,Percutaneous [endoscopic] gastrostomy [PEG],Percu endosc gastrostomy
4319,Other gastrostomy,Other gastrostomy
433,Pyloromyotomy,Pyloromyotomy
4341,Endoscopic excision or destruction of lesion or tissue of stomach,Endosc destr stomach les
4342,Local excision of other lesion or tissue of stomach,Local gastr excision NEC
4349,Other destruction of lesion or tissue of stomach,Local gastr destruct NEC
435,Partial gastrectomy with anastomosis to esophagus,Proximal gastrectomy
436,Partial gastrectomy with anastomosis to duodenum,Distal gastrectomy
437,Partial gastrectomy with anastomosis to jejunum,Part gastrec w jej anast
