"icd_10_pcs","description","ccs_code_and_description","specialty_cohort"
"0T134KA","Bypass Right Kidney Pelvis to Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134KB","Bypass Right Kidney Pelvis to Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134KC","Bypass Right Kidney Pelvis to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134KD","Bypass Right Kidney Pelvis to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134Z3","Bypass Right Kidney Pelvis to Right Kidney Pelvis, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134Z4","Bypass Right Kidney Pelvis to Left Kidney Pelvis, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134Z6","Bypass Right Kidney Pelvis to Right Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134Z7","Bypass Right Kidney Pelvis to Left Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134Z8","Bypass Right Kidney Pelvis to Colon, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134Z9","Bypass Right Kidney Pelvis to Colocutaneous, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134ZA","Bypass Right Kidney Pelvis to Ileum, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134ZB","Bypass Right Kidney Pelvis to Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134ZC","Bypass Right Kidney Pelvis to Ileocutaneous, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134ZD","Bypass Right Kidney Pelvis to Cutaneous, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14073","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14074","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14076","Bypass Left Kidney Pelvis to Right Ureter with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14077","Bypass Left Kidney Pelvis to Left Ureter with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14078","Bypass Left Kidney Pelvis to Colon with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14079","Bypass Left Kidney Pelvis to Colocutaneous with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1407A","Bypass Left Kidney Pelvis to Ileum with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1407B","Bypass Left Kidney Pelvis to Bladder with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1407C","Bypass Left Kidney Pelvis to Ileocutaneous with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1407D","Bypass Left Kidney Pelvis to Cutaneous with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140J3","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140J4","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140J6","Bypass Left Kidney Pelvis to Right Ureter with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140J7","Bypass Left Kidney Pelvis to Left Ureter with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140J8","Bypass Left Kidney Pelvis to Colon with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140J9","Bypass Left Kidney Pelvis to Colocutaneous with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140JA","Bypass Left Kidney Pelvis to Ileum with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140JB","Bypass Left Kidney Pelvis to Bladder with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140JC","Bypass Left Kidney Pelvis to Ileocutaneous with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140JD","Bypass Left Kidney Pelvis to Cutaneous with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140K3","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140K4","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140K6","Bypass Left Kidney Pelvis to Right Ureter with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140K7","Bypass Left Kidney Pelvis to Left Ureter with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140K8","Bypass Left Kidney Pelvis to Colon with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140K9","Bypass Left Kidney Pelvis to Colocutaneous with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140KA","Bypass Left Kidney Pelvis to Ileum with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140KB","Bypass Left Kidney Pelvis to Bladder with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140KC","Bypass Left Kidney Pelvis to Ileocutaneous with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140KD","Bypass Left Kidney Pelvis to Cutaneous with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140Z3","Bypass Left Kidney Pelvis to Right Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140Z4","Bypass Left Kidney Pelvis to Left Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140Z6","Bypass Left Kidney Pelvis to Right Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140Z7","Bypass Left Kidney Pelvis to Left Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140Z8","Bypass Left Kidney Pelvis to Colon, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140Z9","Bypass Left Kidney Pelvis to Colocutaneous, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140ZA","Bypass Left Kidney Pelvis to Ileum, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140ZB","Bypass Left Kidney Pelvis to Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140ZC","Bypass Left Kidney Pelvis to Ileocutaneous, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T140ZD","Bypass Left Kidney Pelvis to Cutaneous, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T143JD","Bypass Left Kidney Pelvis to Cutaneous with Synthetic Substitute, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14473","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14474","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14476","Bypass Left Kidney Pelvis to Right Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14477","Bypass Left Kidney Pelvis to Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14478","Bypass Left Kidney Pelvis to Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T14479","Bypass Left Kidney Pelvis to Colocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1447A","Bypass Left Kidney Pelvis to Ileum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1447B","Bypass Left Kidney Pelvis to Bladder with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1447C","Bypass Left Kidney Pelvis to Ileocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1447D","Bypass Left Kidney Pelvis to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144J3","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144J4","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144J6","Bypass Left Kidney Pelvis to Right Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144J7","Bypass Left Kidney Pelvis to Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144J8","Bypass Left Kidney Pelvis to Colon with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144J9","Bypass Left Kidney Pelvis to Colocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144JA","Bypass Left Kidney Pelvis to Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144JB","Bypass Left Kidney Pelvis to Bladder with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144JC","Bypass Left Kidney Pelvis to Ileocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144JD","Bypass Left Kidney Pelvis to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144K3","Bypass Left Kidney Pelvis to Right Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144K4","Bypass Left Kidney Pelvis to Left Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144K6","Bypass Left Kidney Pelvis to Right Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144K7","Bypass Left Kidney Pelvis to Left Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144K8","Bypass Left Kidney Pelvis to Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144K9","Bypass Left Kidney Pelvis to Colocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144KA","Bypass Left Kidney Pelvis to Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144KB","Bypass Left Kidney Pelvis to Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144KC","Bypass Left Kidney Pelvis to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T144KD","Bypass Left Kidney Pelvis to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
